DateTime,FASE A,FASE B,FASE C,TOTAL,Consumo
01/03/2025 00:00:00,"1432,83","1123,44","827,86","3384,13","564,02"
01/03/2025 00:10:00,"1516,29","1121,14","801,46","3438,89","573,15"
01/03/2025 00:20:00,"1361,04","1383,52","1199,28","3943,84","657,31"
01/03/2025 00:30:00,"1376,49","1076,67","736,42","3189,58","531,60"
01/03/2025 00:40:00,"1484,06","1045,11","654,77","3183,95","530,66"
01/03/2025 00:50:00,"1528,57","876,76","182,91","2588,24","431,37"
01/03/2025 01:00:00,"1531,55","916,53","321,05","2769,13","461,52"
01/03/2025 01:10:00,"1400,45","1084,64","670,64","3155,74","525,96"
01/03/2025 01:20:00,"1477,33","1192,04","937,48","3606,84","601,14"
01/03/2025 01:30:00,"1398,64","1005,54","515,93","2920,11","486,69"
01/03/2025 01:40:00,"1529,36","1191,43","997,77","3718,57","619,76"
01/03/2025 01:50:00,"1451,35","1025,40","613,72","3090,48","515,08"
01/03/2025 02:00:00,"1433,37","1002,99","538,37","2974,72","495,79"
01/03/2025 02:10:00,"1445,28","1071,66","479,80","2996,74","499,46"
01/03/2025 02:20:00,"1358,99","997,13","560,64","2916,76","486,13"
01/03/2025 02:30:00,"1502,11","1033,12","611,77","3147,00","524,50"
01/03/2025 02:40:00,"1476,26","1002,48","527,26","3006,00","501,00"
01/03/2025 02:50:00,"1432,40","877,66","292,85","2602,91","433,82"
01/03/2025 03:00:00,"1389,86","1025,55","587,84","3003,25","500,54"
01/03/2025 03:10:00,"1354,79","1153,08","877,70","3385,57","564,26"
01/03/2025 03:20:00,"1405,06","1086,52","716,68","3208,26","534,71"
01/03/2025 03:30:00,"1561,18","1085,82","714,15","3361,15","560,19"
01/03/2025 03:40:00,"1549,85","1099,77","773,40","3423,02","570,50"
01/03/2025 03:50:00,"1326,98","1028,32","579,84","2935,13","489,19"
01/03/2025 04:00:00,"1390,19","951,28","543,67","2885,13","480,86"
01/03/2025 04:10:00,"1407,18","946,27","415,76","2769,21","461,53"
01/03/2025 04:20:00,"1656,60","996,03","462,56","3115,19","519,20"
01/03/2025 04:30:00,"1504,08","1121,25","748,16","3373,49","562,25"
01/03/2025 04:40:00,"1363,69","1234,74","1024,76","3623,19","603,87"
01/03/2025 04:50:00,"1401,96","1160,10","848,34","3410,39","568,40"
01/03/2025 05:00:00,"1500,81","1173,77","890,92","3565,50","594,25"
01/03/2025 05:10:00,"1447,10","1090,24","702,77","3240,11","540,02"
01/03/2025 05:20:00,"1486,10","1068,59","685,89","3240,58","540,10"
01/03/2025 05:30:00,"1385,94","1173,92","887,27","3447,13","574,52"
01/03/2025 05:40:00,"1423,32","1052,12","568,39","3043,83","507,31"
01/03/2025 05:50:00,"1438,89","1158,14","900,34","3497,37","582,90"
01/03/2025 06:00:00,"1413,64","1093,00","794,05","3300,69","550,11"
01/03/2025 06:10:00,"1492,99","1166,53","851,24","3510,76","585,13"
01/03/2025 06:20:00,"1439,95","975,92","472,94","2888,80","481,47"
01/03/2025 06:30:00,"1439,98","961,39","554,63","2956,00","492,67"
01/03/2025 06:40:00,"1315,89","1090,09","790,47","3196,45","532,74"
01/03/2025 06:50:00,"1395,83","1208,85","993,49","3598,18","599,70"
01/03/2025 07:00:00,"1585,37","1089,75","697,56","3372,68","562,11"
01/03/2025 07:10:00,"1500,80","1218,47","1010,21","3729,49","621,58"
01/03/2025 07:20:00,"1462,66","1137,58","781,26","3381,50","563,58"
01/03/2025 07:30:00,"1334,21","1065,40","731,50","3131,11","521,85"
01/03/2025 07:40:00,"1345,27","1256,98","1055,76","3658,01","609,67"
01/03/2025 07:50:00,"1509,06","1113,03","721,31","3343,40","557,23"
01/03/2025 08:00:00,"1513,50","1111,94","746,81","3372,25","562,04"
01/03/2025 08:10:00,"1383,49","911,09","336,42","2631,00","438,50"
01/03/2025 08:20:00,"1299,81","1078,57","637,74","3016,12","502,69"
01/03/2025 08:30:00,"1367,11","994,97","466,57","2828,65","471,44"
01/03/2025 08:40:00,"1525,42","1157,32","911,70","3594,44","599,07"
01/03/2025 08:50:00,"1282,07","1151,14","861,82","3295,03","549,17"
01/03/2025 09:00:00,"846,80","1342,02","1223,41","3412,23","568,71"
01/03/2025 09:10:00,"889,42","1157,21","841,30","2887,94","481,32"
01/03/2025 09:20:00,"1054,52","1164,47","848,26","3067,26","511,21"
01/03/2025 09:30:00,"1113,31","978,89","438,08","2530,27","421,71"
01/03/2025 09:40:00,"1064,29","1134,57","707,16","2906,02","484,34"
01/03/2025 09:50:00,"875,40","1092,92","704,28","2672,59","445,43"
01/03/2025 10:00:00,"913,17","1123,18","789,39","2825,74","470,96"
01/03/2025 10:10:00,"1014,88","939,25","419,43","2373,56","395,59"
01/03/2025 10:20:00,"1035,32","984,68","570,78","2590,78","431,80"
01/03/2025 10:30:00,"937,11","1232,30","1022,14","3191,55","531,93"
01/03/2025 10:40:00,"912,66","1269,93","1174,56","3357,14","559,52"
01/03/2025 10:50:00,"983,30","1070,76","677,40","2731,47","455,24"
01/03/2025 11:00:00,"911,68","1192,96","910,14","3014,79","502,46"
01/03/2025 11:10:00,"948,64","1131,53","881,86","2962,03","493,67"
01/03/2025 11:20:00,"980,55","917,33","359,64","2257,52","376,25"
01/03/2025 11:30:00,"1533,22","975,71","450,98","2959,92","493,32"
01/03/2025 11:40:00,"1440,50","1163,06","840,39","3443,95","573,99"
01/03/2025 11:50:00,"1386,12","1390,54","1320,28","4096,94","682,82"
01/03/2025 12:00:00,"1308,57","1136,02","812,46","3257,05","542,84"
01/03/2025 12:20:00,"1465,97","954,49","499,32","2919,78","486,63"
01/03/2025 12:30:00,"1455,75","1088,57","690,82","3235,13","539,19"
01/03/2025 12:40:00,"1304,34","1176,75","909,25","3390,35","565,06"
01/03/2025 12:50:00,"1144,94","1245,73","1075,02","3465,68","577,61"
01/03/2025 13:00:00,"974,60","1171,24","855,57","3001,41","500,24"
01/03/2025 13:10:00,"1100,78","1121,69","784,36","3006,82","501,14"
01/03/2025 13:20:00,"1052,57","1111,76","724,57","2888,90","481,48"
01/03/2025 13:30:00,"1343,72","1036,23","631,64","3011,60","501,93"
01/03/2025 13:40:00,"1412,34","1073,93","734,39","3220,66","536,78"
01/03/2025 13:50:00,"1335,32","1094,50","712,37","3142,19","523,70"
01/03/2025 14:00:00,"1025,62","1065,20","715,48","2806,30","467,72"
01/03/2025 14:10:00,"984,76","1013,89","572,38","2571,04","428,51"
01/03/2025 14:20:00,"1096,95","1105,22","726,01","2928,18","488,03"
01/03/2025 14:30:00,"868,07","1089,30","721,89","2679,26","446,54"
01/03/2025 14:40:00,"880,30","1320,60","1168,42","3369,32","561,55"
01/03/2025 14:50:00,"902,26","1274,10","1128,10","3304,46","550,74"
01/03/2025 15:00:00,"1020,03","1156,70","861,04","3037,77","506,29"
01/03/2025 15:10:00,"957,11","1017,32","545,69","2520,11","420,02"
01/03/2025 15:20:00,"1039,85","1045,89","652,99","2738,73","456,46"
01/03/2025 15:30:00,"909,87","956,83","473,78","2340,49","390,08"
01/03/2025 15:40:00,"937,68","1007,55","580,05","2525,28","420,88"
01/03/2025 15:50:00,"952,42","1132,53","784,82","2869,77","478,30"
01/03/2025 16:00:00,"1048,79","1278,62","1171,18","3498,59","583,10"
01/03/2025 16:10:00,"1102,08","1146,55","864,70","3113,33","518,89"
01/03/2025 16:20:00,"1291,41","1017,55","608,06","2917,03","486,17"
01/03/2025 16:30:00,"1384,65","1079,86","690,97","3155,49","525,91"
01/03/2025 16:40:00,"1381,07","1208,32","996,56","3585,96","597,66"
01/03/2025 16:50:01,"1493,32","1198,45","921,18","3612,95","602,16"
01/03/2025 17:00:00,"1629,48","1042,30","571,82","3243,59","540,60"
01/03/2025 17:10:00,"1539,31","1050,57","641,55","3231,42","538,57"
01/03/2025 17:20:00,"1457,26","1114,94","773,30","3345,50","557,58"
01/03/2025 17:30:00,"1395,15","1078,74","784,32","3258,22","543,04"
01/03/2025 17:40:00,"1396,51","1131,38","815,03","3342,92","557,15"
01/03/2025 17:50:00,"1441,46","1131,59","884,41","3457,46","576,24"
01/03/2025 18:00:00,"1449,04","905,55","343,25","2697,84","449,64"
01/03/2025 18:10:00,"1557,84","995,56","592,28","3145,67","524,28"
01/03/2025 18:20:00,"1461,45","1103,75","780,01","3345,21","557,53"
