DateTime,FASE A,FASE B,FASE C,TOTAL,Consumo
01/01/2025 00:00:00,"1160,54","1166,91","956,88","3284,33","547,39"
01/01/2025 00:10:00,"1294,46","1019,13","766,30","3079,90","513,32"
01/01/2025 00:20:00,"1301,31","848,85","351,29","2501,45","416,91"
01/01/2025 00:30:00,"1391,36","1081,33","864,48","3337,18","556,20"
01/01/2025 00:40:00,"1416,99","1112,68","964,48","3494,16","582,36"
01/01/2025 00:50:00,"1343,54","986,13","715,29","3044,96","507,49"
01/01/2025 01:00:00,"1342,57","1091,23","823,13","3256,93","542,82"
01/01/2025 01:10:00,"1273,18","1012,83","659,15","2945,16","490,86"
01/01/2025 01:20:00,"1244,46","996,73","672,44","2913,63","485,60"
01/01/2025 01:30:00,"1207,04","933,49","536,04","2676,57","446,09"
01/01/2025 01:40:00,"1307,50","988,22","691,93","2987,64","497,94"
01/01/2025 01:50:00,"1389,67","1003,62","632,80","3026,08","504,35"
01/01/2025 02:00:00,"1406,14","1051,52","732,59","3190,24","531,71"
01/01/2025 02:10:00,"1408,94","1099,00","876,98","3384,92","564,15"
01/01/2025 02:20:00,"1296,53","1001,64","709,84","3008,01","501,34"
01/01/2025 02:30:00,"1248,40","1038,10","755,49","3041,99","507,00"
01/01/2025 02:40:00,"1251,81","906,34","588,72","2746,87","457,81"
01/01/2025 02:50:00,"1217,23","1035,35","662,88","2915,47","485,91"
01/01/2025 03:00:00,"1205,69","993,69","665,72","2865,09","477,52"
01/01/2025 03:10:00,"1331,39","1100,53","846,99","3278,91","546,48"
01/01/2025 03:20:00,"1353,93","979,30","660,88","2994,11","499,02"
01/01/2025 03:30:00,"1391,46","887,85","467,81","2747,12","457,85"
01/01/2025 03:40:00,"1334,95","1128,58","995,99","3459,52","576,59"
01/01/2025 03:50:00,"1302,09","1063,68","892,48","3258,25","543,04"
01/01/2025 04:00:00,"1241,69","899,38","465,25","2606,32","434,39"
01/01/2025 04:10:00,"1204,08","1009,66","660,92","2874,66","479,11"
01/01/2025 04:20:00,"1251,63","1193,79","1104,39","3549,81","591,64"
